System_names	Gene	Gene_position	Coding_region_start	Coding_region_end	Coding_order	chr	Exon_start	Exon_end	strand	Exon	chr(GCF_000001405.39_GRCh38.p13)		
LU	BCAM	44809103-44821421	44812163	44812391	3 	chr19	44812163	44812391	+	3	NC_000019.10		
LU	BCAM	44809103-44821421	44812478	44812548	4 	chr19	44812478	44812548	+	4	NC_000019.10		
LU	BCAM	44809103-44821421	44813250	44813346	5 	chr19	44813250	44813346	+	5	NC_000019.10		
LU	BCAM	44809103-44821421	44813438	44813620	6 	chr19	44813438	44813620	+	6	NC_000019.10		
LU	BCAM	44809103-44821421	44814152	44814288	7 	chr19	44814152	44814288	+	7	NC_000019.10		
LU	BCAM	44809103-44821421	44814604	44814760	8 	chr19	44814604	44814760	+	8	NC_000019.10		
LU	BCAM	44809103-44821421	44818522	44818637	9 	chr19	44818522	44818637	+	9	NC_000019.10		
LU	BCAM	44809103-44821421	44818741	44818882	10 	chr19	44818741	44818882	+	10	NC_000019.10		
LU	BCAM	44809103-44821421	44819056	44819192	11 	chr19	44819056	44819192	+	11	NC_000019.10		
LU	BCAM	44809103-44821421	44819346	44819490	12 	chr19	44819346	44819490	+	12	NC_000019.10		
LU	BCAM	44809103-44821421	44819582	44819726	13 	chr19	44819582	44819726	+	13	NC_000019.10		
LU	BCAM	44809103-44821421	44820705	44820822	14 	chr19	44820705	44820822	+	14	NC_000019.10		
LU	BCAM	44809103-44821421	44820916	44820921	15 	chr19	44820916	44821421	+	15	NC_000019.10		
KEL	KEL	142941114-142962363 	142962204	142962206	1 	chr7	142962204	142962363	-	1 	NC_000007.14		
KEL	KEL	142941114-142962363 	142961795	142961872	2 	chr7	142961795	142961872	-	2 	NC_000007.14		
KEL	KEL	142941114-142962363	142961360	142961501	3 	chr7	142961360	142961501	-	3 	NC_000007.14		
KEL	KEL	142941114-142962363	142960928	142961104	4 	chr7	142960928	142961104	-	4 	NC_000007.14		
KEL	KEL	142941114-142962363	142958304	142958428	5 	chr7	142958304	142958428	-	5 	NC_000007.14		
KEL	KEL	142941114-142962363	142957827	142957973	6 	chr7	142957827	142957973	-	6 	NC_000007.14		
KEL	KEL	142941114-142962363	142954465	142954527	7 	chr7	142954465	142954527	-	7 	NC_000007.14		
KEL	KEL	142941114-142962363	142954184	142954372	8 	chr7	142954184	142954372	-	8 	NC_000007.14		
KEL	KEL	142941114-142962363	142953808	142953956	9 	chr7	142953808	142953956	-	9 	NC_000007.14		
KEL	KEL	142941114-142962363	142952509	142952638	10 	chr7	142952509	142952638	-	10 	NC_000007.14		
KEL	KEL	142941114-142962363	142946207	142946317	11 	chr7	142946207	142946317	-	11 	NC_000007.14		
KEL	KEL	142941114-142962363	142944643	142944741	12 	chr7	142944643	142944741	-	12 	NC_000007.14		
KEL	KEL	142941114-142962363	142944323	142944400	13 	chr7	142944323	142944400	-	13 	NC_000007.14		
KEL	KEL	142941114-142962363	142943783	142943883	14 	chr7	142943783	142943883	-	14 	NC_000007.14		
KEL	KEL	142941114-142962363	142943486	142943596	15 	chr7	142943486	142943596	-	15 	NC_000007.14		
KEL	KEL	142941114-142962363	142943276	142943343	16 	chr7	142943276	142943343	-	16 	NC_000007.14		
KEL	KEL	142941114-142962363	142942875	142943044	17 	chr7	142942875	142943044	-	17 	NC_000007.14		
KEL	KEL	142941114-142962363	142942434	142942529	18 	chr7	142942434	142942529	-	18 	NC_000007.14		
KEL	KEL	142941114-142962363	142941252	142941413	19 	chr7	142941114	142941413	-	19 	NC_000007.14		
LE	FUT3	5842891-5851474	*	*	*	chr19	5851390	5851474	-	1 	NC_000019.10		
LE	FUT3	5842891-5851474	*	*	*	chr19	5846426	5846618	-	2 	NC_000019.10		
LE	FUT3	5842891-5851474	5843754	5844839	1 	chr19	5842891	5844851	-	3 	NC_000019.10		
FY	ACKR1	159204875-159206500	159204960 	159204980	1 	chr1	159204875	159204980	+	1 	NC_000001.11		
FY	ACKR1	159204875-159206500	159205461	159206450	2 	chr1	159205461	159206500	+	2 	NC_000001.11		
JK	SLC14A1	45687025-45752520	*	*	*	chr18	45724181	45724273	+	1 	NC_000018.10		
JK	SLC14A1	45687025-45752520	*	*	*	chr18	45724950	45725013	+	2 	NC_000018.10		
JK	SLC14A1	45687025-45752520	45730321 	45730471 	1 	chr18	45730300	45730471	+	3 	NC_000018.10		
JK	SLC14A1	45687025-45752520	45731015 	45731204 	2 	chr18	45731015	45731204	+	4 	NC_000018.10		
JK	SLC14A1	45687025-45752520	45734274 	45734402 	3 	chr18	45734274	45734402	+	5 	NC_000018.10		
JK	SLC14A1	45687025-45752520	45736456 	45736648 	4 	chr18	45736456	45736648	+	6 	NC_000018.10		
JK	SLC14A1	45687025-45752520	45739163 	45739310 	5 	chr18	45739163	45739310	+	7 	NC_000018.10		
JK	SLC14A1	45687025-45752520	45739528 	45739662 	6 	chr18	45739528	45739662	+	8 	NC_000018.10		
JK	SLC14A1	45687025-45752520	45748376 	45748425 	7 	chr18	45748376	45748425	+	9 	NC_000018.10		
JK	SLC14A1	45687025-45752520	45749778 	45749951 	8 	chr18	45749778	45752520	+	10 	NC_000018.10		
DI	SLC4A1	44248390-44268135	*	*	*	chr17	44268054	44268135	-	1	NC_000017.11		
DI	SLC4A1	44248390-44268135	44262852	44262866	1 	chr17	44262852	44262934	-	2	NC_000017.11		
DI	SLC4A1	44248390-44268135	44262636	44262726	2 	chr17	44262636	44262726	-	3	NC_000017.11		
DI	SLC4A1	44248390-44268135	44261575	44261636	3 	chr17	44261575	44261636	-	4	NC_000017.11		
DI	SLC4A1	44248390-44268135	44260635	44260815	4 	chr17	44260635	44260815	-	5	NC_000017.11		
DI	SLC4A1	44248390-44268135	44260404	44260539	5 	chr17	44260404	44260539	-	6	NC_000017.11		
DI	SLC4A1	44248390-44268135	44259809	44259932	6 	chr17	44259809	44259932	-	7	NC_000017.11		
DI	SLC4A1	44248390-44268135	44259497	44259581	7 	chr17	44259497	44259581	-	8	NC_000017.11		
DI	SLC4A1	44248390-44268135	44259163	44259344	8 	chr17	44259163	44259344	-	9	NC_000017.11		
DI	SLC4A1	44248390-44268135	44258413	44258623	9 	chr17	44258413	44258623	-	10	NC_000017.11		
DI	SLC4A1	44248390-44268135	44257986	44258180	10 	chr17	44257986	44258180	-	11	NC_000017.11		
DI	SLC4A1	44248390-44268135	44257659	44257807	11 	chr17	44257659	44257807	-	12	NC_000017.11		
DI	SLC4A1	44248390-44268135	44257350	44257544	12 	chr17	44257350	44257544	-	13	NC_000017.11		
DI	SLC4A1	44248390-44268135	44255673	44255846	13 	chr17	44255673	44255846	-	14	NC_000017.11		
DI	SLC4A1	44248390-44268135	44255207	44255296	14 	chr17	44255207	44255296	-	15	NC_000017.11		
DI	SLC4A1	44248390-44268135	44254496	44254662	15 	chr17	44254496	44254662	-	16	NC_000017.11		
DI	SLC4A1	44248390-44268135	44253118	44253371	16 	chr17	44253118	44253371	-	17	NC_000017.11		
DI	SLC4A1	44248390-44268135	44251419	44251588	17 	chr17	44251419	44251588	-	18	NC_000017.11		
DI	SLC4A1	44248390-44268135	44251159	44251332	18 	chr17	44251159	44251332	-	19	NC_000017.11		
DI	SLC4A1	44248390-44268135	44250458	44250538	19 	chr17	44248390	44250538	-	20	NC_000017.11		
YT	ACHE	100889994-100895888	*	*	*	chr7	100896059	100896129	-	1	NC_000007.14		
YT	ACHE	100889994-100895888	100893165	100894232	1 	chr7	100893165	100894252	-	2	NC_000007.14		
YT	ACHE	100889994-100895888	100892334	100892818	2 	chr7	100892334	100892818	-	3	NC_000007.14		
YT	ACHE	100889994-100895888	100891169	100891338	3 	chr7	100891169	100891338	-	4	NC_000007.14		
YT	ACHE	100889994-100895888	100889994	100890214	4 	chr7	100889994	100890335	-	5	NC_000007.14		
XG	CD99	2691295-2741309	2691361	2691427	1 	chrX	2691295	2691427	+	1	NC_000023.11		
XG	CD99	2691295-2741309	2714422	2714454	2 	chrX	2714422	2714454	+	2	NC_000023.11		
XG	CD99	2691295-2741309	2717605	2717652	3 	chrX	2717605	2717652	+	3	NC_000023.11		
XG	CD99	2691295-2741309	2719661	2719705	4 	chrX	2719661	2719705	+	4	NC_000023.11		
XG	CD99	2691295-2741309	2720356	2720424	5 	chrX	2720356	2720424	+	5	NC_000023.11		
XG	CD99	2691295-2741309	2722627	2722674	6 	chrX	2722627	2722674	+	6	NC_000023.11		
XG	CD99	2691295-2741309	2723314	2723364	7 	chrX	2723314	2723364	+	7	NC_000023.11		
XG	CD99	2691295-2741309	2726260	2726373	8 	chrX	2726260	2726373	+	8	NC_000023.11		
XG	CD99	2691295-2741309	2738200	2738256	9 	chrX	2738200	2738256	+	9	NC_000023.11		
XG	CD99	2691295-2741309	2740779	2740804	10 	chrX	2740779	2741309	+	10	NC_000023.11		
XG	XG	2752040-2816500 	2752275	2752335	1 	chrX	2752052	2752335	+	1	NC_000023.11		
XG	XG	2752040-2816500 	2770550	2770591	2 	chrX	2770550	2770591	+	2	NC_000023.11		
XG	XG	2752040-2816500	2774716	2774739	3 	chrX	2774716	2774739	+	3	NC_000023.11		
XG	XG	2752040-2816500	2782066	2782128	4 	chrX	2782066	2782128	+	4	NC_000023.11		
XG	XG	2752040-2816500	2789644	2789706	5 	chrX	2789644	2789706	+	5	NC_000023.11		
XG	XG	2752040-2816500	2794535	2794603	6 	chrX	2794535	2794603	+	6	NC_000023.11		
XG	XG	2752040-2816500	2797310	2797360	7 	chrX	2797310	2797360	+	7	NC_000023.11		
XG	XG	2752040-2816500	2808185	2808220	8 	chrX	2808185	2808220	+	8	NC_000023.11		
XG	XG	2752040-2816500	2811336	2811452	9 	chrX	2811336	2811452	+	9	NC_000023.11		
XG	XG	2752040-2816500	2814364	2814380	10 	chrX	2814364	2815927	+	10	NC_000023.11		
SC	ERMAP	42817122-42844991	*	*	*	chr1	42817122	42817253	+	1	NC_000001.11		
SC	ERMAP	42817122-42844991	*	*	*	chr1	42825623	42825738	+	2	NC_000001.11		
SC	ERMAP	42817122-42844991	42830449 	42830533 	1	chr1	42830444	42830533	+	3	NC_000001.11		
SC	ERMAP	42817122-42844991	42830768 	42831115 	2	chr1	42830768	42831115	+	4	NC_000001.11		
SC	ERMAP	42817122-42844991	42835038 	42835154 	3	chr1	42835038	42835154	+	5	NC_000001.11		
SC	ERMAP	42817122-42844991	42835732 	42835764 	4	chr1	42835732	42835764	+	6	NC_000001.11		
SC	ERMAP	42817122-42844991	42837158 	42837190 	5	chr1	42837158	42837190	+	7	NC_000001.11		
SC	ERMAP	42817122-42844991	42838901 	42838921 	6	chr1	42838901	42838921	+	8	NC_000001.11		
SC	ERMAP	42817122-42844991	42840033 	42840053 	7	chr1	42840033	42840053	+	9	NC_000001.11		
SC	ERMAP	42817122-42844991	42840152 	42840178 	8	chr1	42840152	42840178	+	10	NC_000001.11		
SC	ERMAP	42817122-42844991	42840270 	42840296 	9	chr1	42840270	42840296	+	11	NC_000001.11		
SC	ERMAP	42817122-42844991	42842517 	42843232 	10 	chr1	42842517	42844991	+	12	NC_000001.11		
DO	ART4	14825569-14843526 	14842970	14843113	1 	chr12	14842970	14843526	-	1	NC_000012.12		
DO	ART4	14825569-14843526 	14840445	14841153	2 	chr12	14840445	14841153	-	2	NC_000012.12		
DO	ART4	14825569-14843526	14829371	14829462	3 	chr12	14825569	14829462	-	3	NC_000012.12		
CO	AQP1	30911853-30925517 	30911910 	30912293 	1 	chr7	30911853	30912293	+	1	NC_000007.14		
CO	AQP1	30911853-30925517 	30922066 	30922230 	2 	chr7	30922066	30922230	+	2	NC_000007.14		
CO	AQP1	30911853-30925517	30922564 	30922644 	3 	chr7	30922564	30922644	+	3	NC_000007.14		
CO	AQP1	30911853-30925517	30923450 	30923629 	4 	chr7	30923450	30925516	+	4	NC_000007.14		
LW	ICAM4	10286955-10288520	10287013	10287406	1 	chr19	10286955	10287406	+	1	NC_000019.10		
LW	ICAM4	10286955-10288520	10287536	10287838	2 	chr19	10287536	10287838	+	2	NC_000019.10		
LW	ICAM4	10286955-10288520	10287986	10288104	3 	chr19	10287986	10288520	+	3	NC_000019.10		
CHRG	C4A	31982057-32002681	31982108	31982172	1 	chr6	31982057	31982172	+	1	NC_000006.12		
CHRG	C4A	31982057-32002681	31982305	31982503	2 	chr6	31982305	31982503	+	2	NC_000006.12		
CHRG	C4A	31982057-32002681	31982718	31982919	3 	chr6	31982718	31982919	+	3	NC_000006.12		
CHRG	C4A	31982057-32002681	31983129	31983199	4 	chr6	31983129	31983199	+	4	NC_000006.12		
CHRG	C4A	31982057-32002681	31983278	31983366	5 	chr6	31983278	31983366	+	5	NC_000006.12		
CHRG	C4A	31982057-32002681	31983585	31983667	6 	chr6	31983585	31983667	+	6	NC_000006.12		
CHRG	C4A	31982057-32002681	31983838	31983934	7 	chr6	31983838	31983934	+	7	NC_000006.12		
CHRG	C4A	31982057-32002681	31984073	31984178	8 	chr6	31984073	31984178	+	8	NC_000006.12		
CHRG	C4A	31982057-32002681	31984276	31984408	9 	chr6	31984276	31984408	+	9	NC_000006.12		
CHRG	C4A	31982057-32002681	31991192	31991307	10 	chr6	31991192	31991307	+	10	NC_000006.12		
CHRG	C4A	31982057-32002681	31991407	31991586	11 	chr6	31991407	31991586	+	11	NC_000006.12		
CHRG	C4A	31982057-32002681	31991732	31991914	12 	chr6	31991732	31991914	+	12	NC_000006.12		
CHRG	C4A	31982057-32002681	31992047	31992232	13 	chr6	31992047	31992232	+	13	NC_000006.12		
CHRG	C4A	31982057-32002681	31992386	31992544	14 	chr6	31992386	31992544	+	14	NC_000006.12		
CHRG	C4A	31982057-32002681	31992796	31992922	15 	chr6	31992796	31992922	+	15	NC_000006.12		
CHRG	C4A	31982057-32002681	31993090	31993164	16 	chr6	31993090	31993164	+	16	NC_000006.12		
CHRG	C4A	31982057-32002681	31993425	31993622	17 	chr6	31993425	31993622	+	17	NC_000006.12		
CHRG	C4A	31982057-32002681	31993714	31993825	18 	chr6	31993714	31993825	+	18	NC_000006.12		
CHRG	C4A	31982057-32002681	31993916	31993986	19 	chr6	31993916	31993986	+	19	NC_000006.12		
CHRG	C4A	31982057-32002681	31994245	31994384	20 	chr6	31994245	31994384	+	20	NC_000006.12		
CHRG	C4A	31982057-32002681	31994498	31994707	21 	chr6	31994498	31994707	+	21	NC_000006.12		
CHRG	C4A	31982057-32002681	31994952	31995003	22 	chr6	31994952	31995003	+	22	NC_000006.12		
CHRG	C4A	31982057-32002681	31995105	31995194	23 	chr6	31995105	31995194	+	23	NC_000006.12		
CHRG	C4A	31982057-32002681	31995330	31995539	24 	chr6	31995330	31995539	+	24	NC_000006.12		
CHRG	C4A	31982057-32002681	31995719	31995794	25 	chr6	31995719	31995794	+	25	NC_000006.12		
CHRG	C4A	31982057-32002681	31995955	31996111	26 	chr6	31995955	31996111	+	26	NC_000006.12		
CHRG	C4A	31982057-32002681	31996207	31996323	27 	chr6	31996207	31996323	+	27	NC_000006.12		
CHRG	C4A	31982057-32002681	31996429	31996600	28 	chr6	31996429	31996600	+	28	NC_000006.12		
CHRG	C4A	31982057-32002681	31996829	31997061	29 	chr6	31996829	31997061	+	29	NC_000006.12		
CHRG	C4A	31982057-32002681	31997144	31997311	30 	chr6	31997144	31997311	+	30	NC_000006.12		
CHRG	C4A	31982057-32002681	31997705	31997764	31 	chr6	31997705	31997764	+	31	NC_000006.12		
CHRG	C4A	31982057-32002681	31998814	31998907	32 	chr6	31998814	31998907	+	32	NC_000006.12		
CHRG	C4A	31982057-32002681	31999005	31999191	33 	chr6	31999005	31999191	+	33	NC_000006.12		
CHRG	C4A	31982057-32002681	31999306	31999396	34 	chr6	31999306	31999396	+	34	NC_000006.12		
CHRG	C4A	31982057-32002681	31999487	31999561	35 	chr6	31999487	31999561	+	35	NC_000006.12		
CHRG	C4A	31982057-32002681	32001053	32001155	36 	chr6	32001053	32001155	+	36	NC_000006.12		
CHRG	C4A	31982057-32002681	32001321	32001410	37 	chr6	32001321	32001410	+	37	NC_000006.12		
CHRG	C4A	31982057-32002681	32001496	32001594	38 	chr6	32001496	32001594	+	38	NC_000006.12		
CHRG	C4A	31982057-32002681	32001777	32001860	39 	chr6	32001777	32001860	+	39	NC_000006.12		
CHRG	C4A	31982057-32002681	32002123	32002255	40 	chr6	32002123	32002255	+	40	NC_000006.12		
CHRG	C4A	31982057-32002681	32002399	32002540	41 	chr6	32002399	32002681	+	41	NC_000006.12		
CHRG	C4B	32014795-32035418	32014846 	32014910 	1 	chr6	32014795	32014910	+	1	NC_000006.12		
CHRG	C4B	32014795-32035418	32015043 	32015241 	2 	chr6	32015043	32015241	+	2	NC_000006.12		
CHRG	C4B	32014795-32035418	32015456 	32015657 	3 	chr6	32015456	32015657	+	3	NC_000006.12		
CHRG	C4B	32014795-32035418	32015867 	32015937 	4 	chr6	32015867	32015937	+	4	NC_000006.12		
CHRG	C4B	32014795-32035418	32016016 	32016104 	5 	chr6	32016016	32016104	+	5	NC_000006.12		
CHRG	C4B	32014795-32035418	32016323 	32016405 	6 	chr6	32016323	32016405	+	6	NC_000006.12		
CHRG	C4B	32014795-32035418	32016576 	32016672 	7 	chr6	32016576	32016672	+	7	NC_000006.12		
CHRG	C4B	32014795-32035418	32016811 	32016916 	8 	chr6	32016811	32016916	+	8	NC_000006.12		
CHRG	C4B	32014795-32035418	32017014 	32017146 	9 	chr6	32017014	32017146	+	9	NC_000006.12		
CHRG	C4B	32014795-32035418	32023930 	32024045 	10 	chr6	32023930	32024045	+	10	NC_000006.12		
CHRG	C4B	32014795-32035418	32024145 	32024324 	11 	chr6	32024145	32024324	+	11	NC_000006.12		
CHRG	C4B	32014795-32035418	32024470 	32024652 	12 	chr6	32024470	32024652	+	12	NC_000006.12		
CHRG	C4B	32014795-32035418	32024785 	32024970 	13 	chr6	32024785	32024970	+	13	NC_000006.12		
CHRG	C4B	32014795-32035418	32025124 	32025282 	14 	chr6	32025124	32025282	+	14	NC_000006.12		
CHRG	C4B	32014795-32035418	32025534 	32025660 	15 	chr6	32025534	32025660	+	15	NC_000006.12		
CHRG	C4B	32014795-32035418	32025828 	32025902 	16 	chr6	32025828	32025902	+	16	NC_000006.12		
CHRG	C4B	32014795-32035418	32026163 	32026360 	17 	chr6	32026163	32026360	+	17	NC_000006.12		
CHRG	C4B	32014795-32035418	32026452 	32026563 	18 	chr6	32026452	32026563	+	18	NC_000006.12		
CHRG	C4B	32014795-32035418	32026654 	32026724 	19 	chr6	32026654	32026724	+	19	NC_000006.12		
CHRG	C4B	32014795-32035418	32026983 	32027122 	20 	chr6	32026983	32027122	+	20	NC_000006.12		
CHRG	C4B	32014795-32035418	32027236 	32027445 	21 	chr6	32027236	32027445	+	21	NC_000006.12		
CHRG	C4B	32014795-32035418	32027690 	32027741 	22 	chr6	32027690	32027741	+	22	NC_000006.12		
CHRG	C4B	32014795-32035418	32027843 	32027932 	23 	chr6	32027843	32027932	+	23	NC_000006.12		
CHRG	C4B	32014795-32035418	32028068 	32028277 	24 	chr6	32028068	32028277	+	24	NC_000006.12		
CHRG	C4B	32014795-32035418	32028457 	32028532 	25 	chr6	32028457	32028532	+	25	NC_000006.12		
CHRG	C4B	32014795-32035418	32028693 	32028849 	26 	chr6	32028693	32028849	+	26	NC_000006.12		
CHRG	C4B	32014795-32035418	32028945 	32029061 	27 	chr6	32028945	32029061	+	27	NC_000006.12		
CHRG	C4B	32014795-32035418	32029167 	32029338 	28 	chr6	32029167	32029338	+	28	NC_000006.12		
CHRG	C4B	32014795-32035418	32029566 	32029798 	29 	chr6	32029566	32029798	+	29	NC_000006.12		
CHRG	C4B	32014795-32035418	32029881 	32030048 	30 	chr6	32029881	32030048	+	30	NC_000006.12		
CHRG	C4B	32014795-32035418	32030442 	32030501 	31 	chr6	32030442	32030501	+	31	NC_000006.12		
CHRG	C4B	32014795-32035418	32031551 	32031644 	32 	chr6	32031551	32031644	+	32	NC_000006.12		
CHRG	C4B	32014795-32035418	32031742 	32031928 	33 	chr6	32031742	32031928	+	33	NC_000006.12		
CHRG	C4B	32014795-32035418	32032043 	32032133 	34 	chr6	32032043	32032133	+	34	NC_000006.12		
CHRG	C4B	32014795-32035418	32032224 	32032298 	35 	chr6	32032224	32032298	+	35	NC_000006.12		
CHRG	C4B	32014795-32035418	32033790 	32033892 	36 	chr6	32033790	32033892	+	36	NC_000006.12		
CHRG	C4B	32014795-32035418	32034058 	32034147 	37 	chr6	32034058	32034147	+	37	NC_000006.12		
CHRG	C4B	32014795-32035418	32034233 	32034331 	38 	chr6	32034233	32034331	+	38	NC_000006.12		
CHRG	C4B	32014795-32035418	32034514 	32034597 	39 	chr6	32034514	32034597	+	39	NC_000006.12		
CHRG	C4B	32014795-32035418	32034860 	32034992 	40 	chr6	32034860	32034992	+	40	NC_000006.12		
CHRG	C4B	32014795-32035418	32035136 	32035277 	41 	chr6	32035136	32035418	+	41	NC_000006.12		
H	FUT1	48748011-48752641	*	*	*	chr19	48752490	48752641	-	1	NC_000019.10		
H	FUT1	48748011-48752641	48750184	48751281	1 	chr19	48748011	48751283	-	2	NC_000019.10		
H	FUT2	48695971-48705951	*	*	*	chr19	48695971	48696089	+	1	NC_000019.10		
H	FUT2	48695971-48705951	48702957	48703988	1 	chr19	48702955	48705951	+	2	NC_000019.10		
XK	XK	37685791-37732130	37685962 	37686206 	1	chrX	37685791	37686206	+	1	NC_000023.11		
XK	XK	37685791-37732130	37694286 	37694548 	2	chrX	37694286	37694548	+	2	NC_000023.11		
XK	XK	37685791-37732130	37727636 	37728462 	3	chrX	37727636	37732130	+	3	NC_000023.11		
GE	GYPC	126656158-126696667	126656264 	126656312 	1 	chr2	126656158	126656312	+	1	NC_000002.12		
GE	GYPC	126656158-126696667	126690255 	126690311 	2 	chr2	126690255	126690311	+	2	NC_000002.12		
GE	GYPC	126656158-126696667	126693864 	126693947 	3 	chr2	126693864	126693947	+	3	NC_000002.12		
GE	GYPC	126656158-126696667	126695946 	126696142 	4 	chr2	126695946	126696667	+	4	NC_000002.12		
CROM	CD55	207321701-207360501	207321766	207321865	1 	chr1	207321701	207321865	+	1	NC_000001.11		
CROM	CD55	207321701-207360501	207322382	207322567	2 	chr1	207322382	207322567	+	2	NC_000001.11		
