System_names	Gene	Gene_position	Coding_region_start	Coding_region_end	Coding_order	chr	Exon_start	Exon_end	strand	Exon	chr(GCF_000001405.25_GRCh37.p13)
LU	BCAM	45312360-45324678	45317861	45318017	8	chr19	45317861	45318017	+	8	NC_000019.9
LU	BCAM	45312360-45324678	45321779	45321894	9	chr19	45321779	45321894	+	9	NC_000019.9
LU	BCAM	45312360-45324678	45321998	45322139	10	chr19	45321998	45322139	+	10	NC_000019.9
LU	BCAM	45312360-45324678	45322313	45322449	11	chr19	45322313	45322449	+	11	NC_000019.9
LU	BCAM	45312360-45324678	45322603	45322747	12	chr19	45322603	45322747	+	12	NC_000019.9
LU	BCAM	45312360-45324678	45322839	45322983	13	chr19	45322839	45322983	+	13	NC_000019.9
LU	BCAM	45312360-45324678	45323962	45324079	14	chr19	45323962	45324079	+	14	NC_000019.9
LU	BCAM	45312360-45324678	45324173	45324178	15	chr19	45324173	45324678	+	15	NC_000019.9
KEL	KEL	142638201-142659450	142659291	142659293	1	chr7	142659291	142659450	-	1	NC_000007.13
KEL	KEL	142638201-142659450	142658882	142658959	2	chr7	142658882	142658959	-	2	NC_000007.13
KEL	KEL	142638201-142659450	142658447	142658588	3	chr7	142658447	142658588	-	3	NC_000007.13
KEL	KEL	142638201-142659450	142658015	142658191	4	chr7	142658015	142658191	-	4	NC_000007.13
KEL	KEL	142638201-142659450	142655391	142655515	5	chr7	142655391	142655515	-	5	NC_000007.13
KEL	KEL	142638201-142659450	142654914	142655060	6	chr7	142654914	142655060	-	6	NC_000007.13
KEL	KEL	142638201-142659450	142651552	142651614	7	chr7	142651552	142651614	-	7	NC_000007.13
KEL	KEL	142638201-142659450	142651271	142651459	8	chr7	142651271	142651459	-	8	NC_000007.13
KEL	KEL	142638201-142659450	142650895	142651043	9	chr7	142650895	142651043	-	9	NC_000007.13
KEL	KEL	142638201-142659450	142649596	142649725	10	chr7	142649596	142649725	-	10	NC_000007.13
KEL	KEL	142638201-142659450	142643294	142643404	11	chr7	142643294	142643404	-	11	NC_000007.13
KEL	KEL	142638201-142659450	142641730	142641828	12	chr7	142641730	142641828	-	12	NC_000007.13
KEL	KEL	142638201-142659450	142641410	142641487	13	chr7	142641410	142641487	-	13	NC_000007.13
KEL	KEL	142638201-142659450	142640870	142640970	14	chr7	142640870	142640970	-	14	NC_000007.13
KEL	KEL	142638201-142659450	142640573	142640683	15	chr7	142640573	142640683	-	15	NC_000007.13
KEL	KEL	142638201-142659450	142640363	142640430	16	chr7	142640363	142640430	-	16	NC_000007.13
KEL	KEL	142638201-142659450	142639962	142640131	17	chr7	142639962	142640131	-	17	NC_000007.13
KEL	KEL	142638201-142659450	142639521	142639616	18	chr7	142639521	142639616	-	18	NC_000007.13
KEL	KEL	142638201-142659450	142638339	142638500	19	chr7	142638201	142638500	-	19	NC_000007.13
LE	FUT3	5842902-5851485	*	*	*	chr19	5851401	5851485	-	1	NC_000019.9
LE	FUT3	5842902-5851485	*	*	*	chr19	5846437	5846629	-	2	NC_000019.9
LE	FUT3	5842902-5851485	5843765	5844850	1	chr19	5842902	5844862	-	3	NC_000019.9
FY	ACKR1	159174665-159176290	159174750	159174770	1	chr1	159174665	159174770	+	1	NC_000001.10
FY	ACKR1	159174665-159176290	159175251	159176240	2	chr1	159175251	159176290	+	2	NC_000001.10
JK	SLC14A1	43266990-43332485	*	*	*	chr18	43304146	43304238	+	1	NC_000018.9
JK	SLC14A1	43266990-43332485	*	*	*	chr18	43304915	43304978	+	2	NC_000018.9
JK	SLC14A1	43266990-43332485	43310286	43310436	1	chr18	43310265	43310436	+	3	NC_000018.9
JK	SLC14A1	43266990-43332485	43310980	43311169	2	chr18	43310980	43311169	+	4	NC_000018.9
JK	SLC14A1	43266990-43332485	43314239	43314367	3	chr18	43314239	43314367	+	5	NC_000018.9
JK	SLC14A1	43266990-43332485	43316421	43316613	4	chr18	43316421	43316613	+	6	NC_000018.9
JK	SLC14A1	43266990-43332485	43319128	43319275	5	chr18	43319128	43319275	+	7	NC_000018.9
JK	SLC14A1	43266990-43332485	43319493	43319627	6	chr18	43319493	43319627	+	8	NC_000018.9
JK	SLC14A1	43266990-43332485	43328341	43328390	7	chr18	43328341	43328390	+	9	NC_000018.9
JK	SLC14A1	43266990-43332485	43329743	43329916	8	chr18	43329743	43332485	+	10	NC_000018.9
DI	SLC4A1	42325758-42345503	*	*	*	chr17	42345422	42345503	-	1	NC_000017.10
DI	SLC4A1	42325758-42345503	42340220	42340234	1	chr17	42340220	42340302	-	2	NC_000017.10
DI	SLC4A1	42325758-42345503	42340004	42340094	2	chr17	42340004	42340094	-	3	NC_000017.10
DI	SLC4A1	42325758-42345503	42338943	42339004	3	chr17	42338943	42339004	-	4	NC_000017.10
DI	SLC4A1	42325758-42345503	42338003	42338183	4	chr17	42338003	42338183	-	5	NC_000017.10
DI	SLC4A1	42325758-42345503	42337772	42337907	5	chr17	42337772	42337907	-	6	NC_000017.10
DI	SLC4A1	42325758-42345503	42337177	42337300	6	chr17	42337177	42337300	-	7	NC_000017.10
DI	SLC4A1	42325758-42345503	42336865	42336949	7	chr17	42336865	42336949	-	8	NC_000017.10
DI	SLC4A1	42325758-42345503	42336531	42336712	8	chr17	42336531	42336712	-	9	NC_000017.10
DI	SLC4A1	42325758-42345503	42335781	42335991	9	chr17	42335781	42335991	-	10	NC_000017.10
DI	SLC4A1	42325758-42345503	42335354	42335548	10	chr17	42335354	42335548	-	11	NC_000017.10
DI	SLC4A1	42325758-42345503	42335027	42335175	11	chr17	42335027	42335175	-	12	NC_000017.10
DI	SLC4A1	42325758-42345503	42334718	42334912	12	chr17	42334718	42334912	-	13	NC_000017.10
DI	SLC4A1	42325758-42345503	42333041	42333214	13	chr17	42333041	42333214	-	14	NC_000017.10
DI	SLC4A1	42325758-42345503	42332575	42332664	14	chr17	42332575	42332664	-	15	NC_000017.10
DI	SLC4A1	42325758-42345503	42331864	42332030	15	chr17	42331864	42332030	-	16	NC_000017.10
DI	SLC4A1	42325758-42345503	42330486	42330739	16	chr17	42330486	42330739	-	17	NC_000017.10
DI	SLC4A1	42325758-42345503	42328787	42328956	17	chr17	42328787	42328956	-	18	NC_000017.10
DI	SLC4A1	42325758-42345503	42328527	42328700	18	chr17	42328527	42328700	-	19	NC_000017.10
DI	SLC4A1	42325758-42345503	42327826	42327906	19	chr17	42325758	42327906	-	20	NC_000017.10
YT	ACHE	100487615-100493509	*	*	*	chr7	100493680	100493750	-	1	NC_000007.13
YT	ACHE	100487615-100493509	100490786	100491853	1	chr7	100490786	100491873	-	2	NC_000007.13
YT	ACHE	100487615-100493509	100489955	100490439	2	chr7	100489955	100490439	-	3	NC_000007.13
YT	ACHE	100487615-100493509	100488790	100488959	3	chr7	100488790	100488959	-	4	NC_000007.13
YT	ACHE	100487615-100493509	100487615	100487835	4	chr7	100487615	100487956	-	5	NC_000007.13
XG	CD99	2609336-2659350	2609402	2609468	1	chrX	2609336	2609468	+	1	NC_000023.10
XG	CD99	2609336-2659350	2632463	2632495	2	chrX	2632463	2632495	+	2	NC_000023.10
XG	CD99	2609336-2659350	2635646	2635693	3	chrX	2635646	2635693	+	3	NC_000023.10
XG	CD99	2609336-2659350	2637702	2637746	4	chrX	2637702	2637746	+	4	NC_000023.10
XG	CD99	2609336-2659350	2638397	2638465	5	chrX	2638397	2638465	+	5	NC_000023.10
XG	CD99	2609336-2659350	2640668	2640715	6	chrX	2640668	2640715	+	6	NC_000023.10
XG	CD99	2609336-2659350	2641355	2641405	7	chrX	2641355	2641405	+	7	NC_000023.10
XG	CD99	2609336-2659350	2644301	2644414	8	chrX	2644301	2644414	+	8	NC_000023.10
XG	CD99	2609336-2659350	2656241	2656297	9	chrX	2656241	2656297	+	9	NC_000023.10
XG	CD99	2609336-2659350	2658820	2658845	10	chrX	2658820	2659350	+	10	NC_000023.10
XG	XG	2670081-2734541	2670316	2670376	1	chrX	2670093	2670376	+	1	NC_000023.10
XG	XG	2670081-2734541	2688591	2688632	2	chrX	2688591	2688632	+	2	NC_000023.10
XG	XG	2670081-2734541	2692757	2692780	3	chrX	2692757	2692780	+	3	NC_000023.10
XG	XG	2670081-2734541	2700107	2700169	4	chrX	2700107	2700169	+	4	NC_000023.10
XG	XG	2670081-2734541	2707685	2707747	5	chrX	2707685	2707747	+	5	NC_000023.10
XG	XG	2670081-2734541	2712576	2712644	6	chrX	2712576	2712644	+	6	NC_000023.10
XG	XG	2670081-2734541	2715351	2715401	7	chrX	2715351	2715401	+	7	NC_000023.10
XG	XG	2670081-2734541	2726226	2726261	8	chrX	2726226	2726261	+	8	NC_000023.10
XG	XG	2670081-2734541	2729377	2729493	9	chrX	2729377	2729493	+	9	NC_000023.10
XG	XG	2670081-2734541	2732405	2732421	10	chrX	2732405	2733968	+	10	NC_000023.10
SC	ERMAP	43282793-43310662	*	*	*	chr1	43282793	43282924	+	1	NC_000001.10
SC	ERMAP	43282793-43310662	*	*	*	chr1	43291294	43291409	+	2	NC_000001.10
SC	ERMAP	43282793-43310662	43296120	43296204	1	chr1	43296115	43296204	+	3	NC_000001.10
SC	ERMAP	43282793-43310662	43296439	43296786	2	chr1	43296439	43296786	+	4	NC_000001.10
SC	ERMAP	43282793-43310662	43300709	43300825	3	chr1	43300709	43300825	+	5	NC_000001.10
SC	ERMAP	43282793-43310662	43301403	43301435	4	chr1	43301403	43301435	+	6	NC_000001.10
SC	ERMAP	43282793-43310662	43302829	43302861	5	chr1	43302829	43302861	+	7	NC_000001.10
SC	ERMAP	43282793-43310662	43304572	43304592	6	chr1	43304572	43304592	+	8	NC_000001.10
SC	ERMAP	43282793-43310662	43305704	43305724	7	chr1	43305704	43305724	+	9	NC_000001.10
SC	ERMAP	43282793-43310662	43305823	43305849	8	chr1	43305823	43305849	+	10	NC_000001.10
SC	ERMAP	43282793-43310662	43305941	43305967	9	chr1	43305941	43305967	+	11	NC_000001.10
SC	ERMAP	43282793-43310662	43308188	43308903	10	chr1	43308188	43310662	+	12	NC_000001.10
DO	ART4	14978503-14996460	14995904	14996047	1	chr12	14995904	14996460	-	1	NC_000012.11
DO	ART4	14978503-14996460	14993379	14994087	2	chr12	14993379	14994087	-	2	NC_000012.11
DO	ART4	14978503-14996460	14982305	14982396	3	chr12	14978503	14982396	-	3	NC_000012.11
CO	AQP1	30951468-30965132	30951525	30951908	1	chr7	30951468	30951908	+	1	NC_000007.13
CO	AQP1	30951468-30965132	30961681	30961845	2	chr7	30961681	30961845	+	2	NC_000007.13
CO	AQP1	30951468-30965132	30962179	30962259	3	chr7	30962179	30962259	+	3	NC_000007.13
CO	AQP1	30951468-30965132	30963065	30963244	4	chr7	30963065	30965131	+	4	NC_000007.13
LW	ICAM4	10397631-10399196	10397689	10398082	1	chr19	10397631	10398082	+	1	NC_000019.9
LW	ICAM4	10397631-10399196	10398212	10398514	2	chr19	10398212	10398514	+	2	NC_000019.9
LW	ICAM4	10397631-10399196	10398662	10398780	3	chr19	10398662	10399196	+	3	NC_000019.9
CHRG	C4A	31949834-31970458	31949885	31949949	1	chr6	31949834	31949949	+	1	NC_000006.11
CHRG	C4A	31949834-31970458	31950082	31950280	2	chr6	31950082	31950280	+	2	NC_000006.11
CHRG	C4A	31949834-31970458	31950495	31950696	3	chr6	31950495	31950696	+	3	NC_000006.11
CHRG	C4A	31949834-31970458	31950906	31950976	4	chr6	31950906	31950976	+	4	NC_000006.11
CHRG	C4A	31949834-31970458	31951055	31951143	5	chr6	31951055	31951143	+	5	NC_000006.11
CHRG	C4A	31949834-31970458	31951362	31951444	6	chr6	31951362	31951444	+	6	NC_000006.11
CHRG	C4A	31949834-31970458	31951615	31951711	7	chr6	31951615	31951711	+	7	NC_000006.11
CHRG	C4A	31949834-31970458	31951850	31951955	8	chr6	31951850	31951955	+	8	NC_000006.11
CHRG	C4A	31949834-31970458	31952053	31952185	9	chr6	31952053	31952185	+	9	NC_000006.11
CHRG	C4A	31949834-31970458	31958969	31959084	10	chr6	31958969	31959084	+	10	NC_000006.11
CHRG	C4A	31949834-31970458	31959184	31959363	11	chr6	31959184	31959363	+	11	NC_000006.11
CHRG	C4A	31949834-31970458	31959509	31959691	12	chr6	31959509	31959691	+	12	NC_000006.11
CHRG	C4A	31949834-31970458	31959824	31960009	13	chr6	31959824	31960009	+	13	NC_000006.11
CHRG	C4A	31949834-31970458	31960163	31960321	14	chr6	31960163	31960321	+	14	NC_000006.11
CHRG	C4A	31949834-31970458	31960573	31960699	15	chr6	31960573	31960699	+	15	NC_000006.11
CHRG	C4A	31949834-31970458	31960867	31960941	16	chr6	31960867	31960941	+	16	NC_000006.11
CHRG	C4A	31949834-31970458	31961202	31961399	17	chr6	31961202	31961399	+	17	NC_000006.11
CHRG	C4A	31949834-31970458	31961491	31961602	18	chr6	31961491	31961602	+	18	NC_000006.11
CHRG	C4A	31949834-31970458	31961693	31961763	19	chr6	31961693	31961763	+	19	NC_000006.11
CHRG	C4A	31949834-31970458	31962022	31962161	20	chr6	31962022	31962161	+	20	NC_000006.11
CHRG	C4A	31949834-31970458	31962275	31962484	21	chr6	31962275	31962484	+	21	NC_000006.11
CHRG	C4A	31949834-31970458	31962729	31962780	22	chr6	31962729	31962780	+	22	NC_000006.11
CHRG	C4A	31949834-31970458	31962882	31962971	23	chr6	31962882	31962971	+	23	NC_000006.11
CHRG	C4A	31949834-31970458	31963107	31963316	24	chr6	31963107	31963316	+	24	NC_000006.11
CHRG	C4A	31949834-31970458	31963496	31963571	25	chr6	31963496	31963571	+	25	NC_000006.11
CHRG	C4A	31949834-31970458	31963732	31963888	26	chr6	31963732	31963888	+	26	NC_000006.11
CHRG	C4A	31949834-31970458	31963984	31964100	27	chr6	31963984	31964100	+	27	NC_000006.11
CHRG	C4A	31949834-31970458	31964206	31964377	28	chr6	31964206	31964377	+	28	NC_000006.11
CHRG	C4A	31949834-31970458	31964606	31964838	29	chr6	31964606	31964838	+	29	NC_000006.11
CHRG	C4A	31949834-31970458	31964921	31965088	30	chr6	31964921	31965088	+	30	NC_000006.11
CHRG	C4A	31949834-31970458	31965482	31965541	31	chr6	31965482	31965541	+	31	NC_000006.11
CHRG	C4A	31949834-31970458	31966591	31966684	32	chr6	31966591	31966684	+	32	NC_000006.11
CHRG	C4A	31949834-31970458	31966782	31966968	33	chr6	31966782	31966968	+	33	NC_000006.11
CHRG	C4A	31949834-31970458	31967083	31967173	34	chr6	31967083	31967173	+	34	NC_000006.11
CHRG	C4A	31949834-31970458	31967264	31967338	35	chr6	31967264	31967338	+	35	NC_000006.11
CHRG	C4A	31949834-31970458	31968830	31968932	36	chr6	31968830	31968932	+	36	NC_000006.11
CHRG	C4A	31949834-31970458	31969098	31969187	37	chr6	31969098	31969187	+	37	NC_000006.11
CHRG	C4A	31949834-31970458	31969273	31969371	38	chr6	31969273	31969371	+	38	NC_000006.11
CHRG	C4A	31949834-31970458	31969554	31969637	39	chr6	31969554	31969637	+	39	NC_000006.11
CHRG	C4A	31949834-31970458	31969900	31970032	40	chr6	31969900	31970032	+	40	NC_000006.11
CHRG	C4A	31949834-31970458	31970176	31970317	41	chr6	31970176	31970458	+	41	NC_000006.11
CHRG	C4B	31982572-32003195	31982623	31982687	1	chr6	31982572	31982687	+	1	NC_000006.11
CHRG	C4B	31982572-32003195	31982820	31983018	2	chr6	31982820	31983018	+	2	NC_000006.11
CHRG	C4B	31982572-32003195	31983233	31983434	3	chr6	31983233	31983434	+	3	NC_000006.11
CHRG	C4B	31982572-32003195	31983644	31983714	4	chr6	31983644	31983714	+	4	NC_000006.11
CHRG	C4B	31982572-32003195	31983793	31983881	5	chr6	31983793	31983881	+	5	NC_000006.11
CHRG	C4B	31982572-32003195	31984100	31984182	6	chr6	31984100	31984182	+	6	NC_000006.11
CHRG	C4B	31982572-32003195	31984353	31984449	7	chr6	31984353	31984449	+	7	NC_000006.11
CHRG	C4B	31982572-32003195	31984588	31984693	8	chr6	31984588	31984693	+	8	NC_000006.11
CHRG	C4B	31982572-32003195	31984791	31984923	9	chr6	31984791	31984923	+	9	NC_000006.11
CHRG	C4B	31982572-32003195	31991707	31991822	10	chr6	31991707	31991822	+	10	NC_000006.11
CHRG	C4B	31982572-32003195	31991922	31992101	11	chr6	31991922	31992101	+	11	NC_000006.11
CHRG	C4B	31982572-32003195	31992247	31992429	12	chr6	31992247	31992429	+	12	NC_000006.11
CHRG	C4B	31982572-32003195	31992562	31992747	13	chr6	31992562	31992747	+	13	NC_000006.11
CHRG	C4B	31982572-32003195	31992901	31993059	14	chr6	31992901	31993059	+	14	NC_000006.11
CHRG	C4B	31982572-32003195	31993311	31993437	15	chr6	31993311	31993437	+	15	NC_000006.11
CHRG	C4B	31982572-32003195	31993605	31993679	16	chr6	31993605	31993679	+	16	NC_000006.11
CHRG	C4B	31982572-32003195	31993940	31994137	17	chr6	31993940	31994137	+	17	NC_000006.11
CHRG	C4B	31982572-32003195	31994229	31994340	18	chr6	31994229	31994340	+	18	NC_000006.11
CHRG	C4B	31982572-32003195	31994431	31994501	19	chr6	31994431	31994501	+	19	NC_000006.11
CHRG	C4B	31982572-32003195	31994760	31994899	20	chr6	31994760	31994899	+	20	NC_000006.11
CHRG	C4B	31982572-32003195	31995013	31995222	21	chr6	31995013	31995222	+	21	NC_000006.11
CHRG	C4B	31982572-32003195	31995467	31995518	22	chr6	31995467	31995518	+	22	NC_000006.11
CHRG	C4B	31982572-32003195	31995620	31995709	23	chr6	31995620	31995709	+	23	NC_000006.11
CHRG	C4B	31982572-32003195	31995845	31996054	24	chr6	31995845	31996054	+	24	NC_000006.11
CHRG	C4B	31982572-32003195	31996234	31996309	25	chr6	31996234	31996309	+	25	NC_000006.11
CHRG	C4B	31982572-32003195	31996470	31996626	26	chr6	31996470	31996626	+	26	NC_000006.11
CHRG	C4B	31982572-32003195	31996722	31996838	27	chr6	31996722	31996838	+	27	NC_000006.11
CHRG	C4B	31982572-32003195	31996944	31997115	28	chr6	31996944	31997115	+	28	NC_000006.11
CHRG	C4B	31982572-32003195	31997343	31997575	29	chr6	31997343	31997575	+	29	NC_000006.11
CHRG	C4B	31982572-32003195	31997658	31997825	30	chr6	31997658	31997825	+	30	NC_000006.11
CHRG	C4B	31982572-32003195	31998219	31998278	31	chr6	31998219	31998278	+	31	NC_000006.11
CHRG	C4B	31982572-32003195	31999328	31999421	32	chr6	31999328	31999421	+	32	NC_000006.11
CHRG	C4B	31982572-32003195	31999519	31999705	33	chr6	31999519	31999705	+	33	NC_000006.11
CHRG	C4B	31982572-32003195	31999820	31999910	34	chr6	31999820	31999910	+	34	NC_000006.11
CHRG	C4B	31982572-32003195	32000001	32000075	35	chr6	32000001	32000075	+	35	NC_000006.11
CHRG	C4B	31982572-32003195	32001567	32001669	36	chr6	32001567	32001669	+	36	NC_000006.11
CHRG	C4B	31982572-32003195	32001835	32001924	37	chr6	32001835	32001924	+	37	NC_000006.11
CHRG	C4B	31982572-32003195	32002010	32002108	38	chr6	32002010	32002108	+	38	NC_000006.11
CHRG	C4B	31982572-32003195	32002291	32002374	39	chr6	32002291	32002374	+	39	NC_000006.11
CHRG	C4B	31982572-32003195	32002637	32002769	40	chr6	32002637	32002769	+	40	NC_000006.11
CHRG	C4B	31982572-32003195	32002913	32003054	41	chr6	32002913	32003195	+	41	NC_000006.11
H	FUT1	49251268-49255898	*	*	*	chr19	49255747	49255898	-	1	NC_000019.9
H	FUT1	49251268-49255898	49253441	49254538	1	chr19	49251268	49254540	-	2	NC_000019.9
H	FUT2	49199228-49209208	*	*	*	chr19	49199228	49199346	+	1	NC_000019.9
H	FUT2	49199228-49209208	49206247	49207245	1	chr19	49206212	49209208	+	2	NC_000019.9
XK	XK	37545044-37591383	37545215	37545459	1	chrX	37545044	37545459	+	1	NC_000023.10
XK	XK	37545044-37591383	37553539	37553801	2	chrX	37553539	37553801	+	2	NC_000023.10
XK	XK	37545044-37591383	37586889	37587715	3	chrX	37586889	37591383	+	3	NC_000023.10
GE	GYPC	127413734-127454243	127413840	127413888	1	chr2	127413734	127413888	+	1	NC_000002.11
GE	GYPC	127413734-127454243	127447831	127447887	2	chr2	127447831	127447887	+	2	NC_000002.11
GE	GYPC	127413734-127454243	127451440	127451523	3	chr2	127451440	127451523	+	3	NC_000002.11
GE	GYPC	127413734-127454243	127453522	127453718	4	chr2	127453522	127454243	+	4	NC_000002.11
CROM	CD55	207495046-207533846	207495111	207495210	1	chr1	207495046	207495210	+	1	NC_000001.10
CROM	CD55	207495046-207533846	207495727	207495912	2	chr1	207495727	207495912	+	2	NC_000001.10
CROM	CD55	207495046-207533846	207497904	207498095	3	chr1	207497904	207498095	+	3	NC_000001.10
CROM	CD55	207495046-207533846	207498967	207499066	4	chr1	207498967	207499066	+	4	NC_000001.10
CROM	CD55	207495046-207533846	207500097	207500182	5	chr1	207500097	207500182	+	5	NC_000001.10
CROM	CD55	207495046-207533846	207504453	207504641	6	chr1	207504453	207504641	+	6	NC_000001.10
CROM	CD55	207495046-207533846	207510038	207510163	7	chr1	207510038	207510163	+	7	NC_000001.10
CROM	CD55	207495046-207533846	207510674	207510754	8	chr1	207510674	207510754	+	8	NC_000001.10
CROM	CD55	207495046-207533846	207512742	207512762	9	chr1	207512742	207512762	+	9	NC_000001.10
CROM	CD55	207495046-207533846	207513736	207513853	10	chr1	207513736	207513853	+	10	NC_000001.10
CROM	CD55	207495046-207533846	207532891	207533014	11	chr1	207532891	207533846	+	11	NC_000001.10
KN	CR1	207669492-207815110	207669613	207669733	1	chr1	207669492	207669733	+	1	NC_000001.10
KN	CR1	207669492-207815110	207679249	207679428	2	chr1	207679249	207679428	+	2	NC_000001.10
KN	CR1	207669492-207815110	207680059	207680158	3	chr1	207680059	207680158	+	3	NC_000001.10
KN	CR1	207669492-207815110	207684914	207684999	4	chr1	207684914	207684999	+	4	NC_000001.10
KN	CR1	207669492-207815110	207696956	207697354	5	chr1	207696956	207697354	+	5	NC_000001.10
KN	CR1	207669492-207815110	207700098	207700274	6	chr1	207700098	207700274	+	6	NC_000001.10
